"id" "time" "group" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86" "87" "88" "89" "90" "91" "92" "93" "94" "95" "96" "97" "98" "99" "100"
"1" 1 0 0 0 3 53 25 9 59 1 30 7 5 226 17 0 2 4 21 5 4 102 1 11 1 35 5 1 12 383 51 52 2 15 31 2 1 1 0 42 4 19 1 8 0 3 4 44 4 6 37 0 5 6 17 7 51 5 6 2 24 1 17 0 28 56 24 14 14 9 6 3 1 5 3 11 7 0 9 22 0 24 0 2 98 41 19 2 1 15 6 44 1 5 17 0 1 6 7 4 11 93 11
"2" 1 0.2 0 0 5 21 13 2 17 8 3 4 3 85 4 1 4 26 37 52 1 33 6 9 3 12 4 2 19 175 27 20 9 3 114 0 3 0 2 36 10 15 1 10 5 4 14 63 2 5 11 1 6 3 14 6 49 2 4 7 12 17 7 1 63 43 95 47 16 11 49 3 0 4 11 17 0 0 4 42 0 37 0 2 123 23 20 3 0 16 1 15 5 6 7 0 1 4 6 22 6 84 8
"3" 1 0.4 0 0 6 27 5 1 12 6 7 1 4 118 7 8 0 9 39 37 7 101 6 26 1 13 9 2 15 143 46 67 6 21 45 2 1 1 0 70 8 21 4 15 1 3 9 61 1 8 10 3 2 4 11 11 97 3 37 2 16 2 34 3 30 153 33 21 22 5 18 5 2 0 7 28 3 0 5 28 0 13 2 0 48 25 27 2 1 17 1 45 2 2 9 0 1 8 27 10 4 86 15
"4" 1 0.6 0 0 5 54 14 4 60 17 26 10 6 269 2 3 6 16 44 46 4 26 5 17 5 19 12 0 31 208 34 66 4 9 178 1 4 3 2 36 4 41 0 18 4 24 17 68 1 4 14 0 3 12 12 5 189 2 8 4 29 8 7 13 19 65 46 15 26 7 12 27 0 2 15 41 2 0 15 123 1 63 0 5 97 44 36 4 0 39 6 33 6 1 7 1 5 21 16 15 14 177 12
"5" 2 0 0 1 18 123 107 23 21 37 4 28 0 9 22 1 1 4 136 50 12 78 39 18 12 5 6 3 16 232 7 4 2 27 32 3 4 11 0 14 4 7 2 7 8 3 1 3 0 14 24 1 4 0 7 7 8 2 42 1 0 2 45 24 164 28 18 4 44 6 146 0 8 11 6 13 9 0 0 24 4 75 1 1 129 64 38 2 0 113 6 59 1 5 3 1 8 4 3 0 55 44 9
"6" 2 0.2 0 0 7 178 92 26 33 3 14 74 2 42 8 0 8 1 69 129 5 45 13 20 1 5 5 4 64 523 4 7 0 24 31 5 7 4 0 26 4 2 5 7 12 3 2 9 0 12 6 2 5 3 15 14 3 4 80 0 1 2 9 12 84 56 13 23 22 6 431 0 15 15 21 23 4 2 0 16 1 176 0 1 97 36 36 0 0 62 7 121 0 13 7 3 28 4 6 4 81 19 2
"7" 2 0.4 0 1 6 140 50 37 21 38 9 35 1 39 18 0 2 3 102 62 21 49 15 10 11 9 7 1 139 139 15 15 4 11 33 3 7 8 0 45 10 12 2 24 20 1 4 4 0 8 19 5 4 1 20 19 3 15 67 5 1 1 41 16 230 59 20 12 37 4 166 1 27 13 13 46 8 0 0 48 6 57 1 10 87 20 8 0 0 44 7 55 1 4 16 2 16 9 2 3 60 57 5
"8" 2 0.6 0 3 14 248 43 9 27 8 8 49 2 64 7 0 3 13 78 154 33 39 27 31 16 6 8 6 48 389 12 10 4 12 21 0 13 15 1 33 4 15 5 14 24 3 1 10 0 10 3 7 12 5 39 22 5 31 37 4 4 1 13 29 114 79 10 36 35 1 278 0 14 24 3 38 4 1 0 32 0 77 2 13 100 31 16 3 1 42 12 102 9 21 3 5 12 8 5 1 58 37 4
"9" 3 0 0 0 16 36 5 11 141 8 53 40 2 40 1 1 2 75 180 16 6 85 32 24 10 8 2 1 248 8 6 5 1 1 328 0 3 0 1 10 9 13 0 1 3 61 0 5 0 6 31 3 60 2 0 40 57 0 19 0 1 4 76 4 38 25 27 71 174 16 13 4 38 4 55 22 8 2 0 31 10 33 1 23 69 9 8 1 0 34 4 7 2 1 9 3 27 5 3 2 23 33 7
"10" 3 0.2 0 1 1 52 2 13 129 11 10 44 0 58 0 2 3 136 220 15 12 31 29 6 24 7 1 3 544 3 23 38 0 2 169 0 10 1 2 0 10 2 1 2 1 55 3 24 0 3 24 6 21 4 4 13 199 2 5 0 1 7 89 6 69 35 81 28 79 11 7 6 33 0 16 23 12 6 0 51 16 19 9 21 42 6 4 8 0 31 0 15 0 6 57 1 19 26 10 8 27 21 3
